Word,Unknown,Disliked,Unsure,Liked
actor,12.53561254,37.60683761,9.971509972,39.88603989
athlete,17.09401709,31.05413105,10.54131054,41.31054131
astronaut,4.558404558,57.83475783,9.686609687,27.92022792
author,7.122507123,49.85754986,11.3960114,31.62393162
banker,17.09401709,45.2991453,10.54131054,27.06552707
civil servant,63.81766382,26.78062678,6.267806268,3.133903134
detective,8.262108262,44.44444444,11.11111111,36.18233618
doctor,2.849002849,54.13105413,11.11111111,31.90883191
engineer,15.38461538,48.43304843,10.82621083,25.35612536
entreprenuer,73.78917379,14.81481481,7.122507123,4.273504274
estate agent,45.58404558,32.47863248,7.407407407,14.52991453
farmer,2.849002849,70.37037037,8.262108262,18.51851852
firefighter,2.564102564,61.82336182,11.68091168,23.93162393
gametester,16.23931624,25.35612536,9.971509972,48.43304843
hairdresser,3.418803419,43.3048433,8.831908832,44.44444444
judge,6.552706553,56.98005698,10.54131054,25.92592593
lawyer,23.93162393,43.87464387,9.401709402,22.79202279
librarian,12.53561254,53.84615385,12.25071225,21.36752137
mechanic,22.22222222,46.15384615,7.122507123,24.5014245
nurse,3.133903134,54.41595442,12.25071225,30.1994302
pilot,8.831908832,50.42735043,10.25641026,30.48433048
politician,50.997151,28.20512821,12.25071225,8.547008547
shopkeeper,3.703703704,42.73504274,14.24501425,39.31623932
soldier,3.988603989,56.98005698,8.547008547,30.48433048
surveyor,66.38176638,23.64672365,6.267806268,3.703703704
teacher,2.849002849,33.04843305,11.68091168,52.42165242
technician,51.28205128,30.76923077,7.977207977,9.971509972
tennis player,3.703703704,51.85185185,11.68091168,32.76353276
vet,3.703703704,39.31623932,11.3960114,45.58404558
zoologist,45.01424501,30.1994302,7.977207977,16.80911681
